PRICE,AREA
38 L,1034
36 L,917
38 L,837
39.5 L,820
65 L,1265
54 L,1175
74.83 L,1054
90.45 L,1274
80 L,1668
80 L,1668
40 L,900
36 L,750
40 L,850
43.2 L,900
36 L,750
80 L,1668
40.8 L,850
40 L,850
40 L,850
80 L,1668
40 L,850
43 L,900
80 L,1668
80 L,1290
26 L,663
65 L,930
34 L,840
47.5 L,1293
32.4 L,1120
70 L,1270
45 L,1288
34.2 L,900
26.25 L,750
32.3 L,850
62 L,1208
30.13 L,793
25.56 L,710
25.92 L,810
38.4 L,1200
33 L,1100
28 L,950
26 L,850
28 L,920
84 L,1530
46 L,1154
22.54 L,644
38.22 L,1092
45 L,1200
34.56 L,1080
19.98 L,740
19.44 L,720
48 L,1080
35 L,1100
19 L,450
52 L,1400
1.1 Cr,1032
2.15 Cr,1764
4 Cr,2693
1.75 Cr,1583
57 L,1022
1.65 Cr,1920
1.45 Cr,1457
2 Cr,1800
2.25 Cr,2367
3 Cr,2897
1.2 Cr,1198
3.7 Cr,2385
4.75 Cr,2822
5.25 Cr,2822
39.7 L,892
37.26 L,887
23.3 L,863
31.97 L,1184
21.78 L,565
36.08 L,925
38.55 L,918
54.9 L,1220
51.08 L,1135
41.58 L,990
26 L,741
27 L,886
28.68 L,735
33 L,847
28.44 L,790
22 L,720
36 L,800
31 L,1000
25.78 L,845
24.5 L,650
30.63 L,828
48.26 L,1150
65.79 L,1462
65.34 L,1452
1.5 Cr,1672
1.06 Cr,1429
63 L,1064
38 L,813
71.86 L,1409
39.2 L,871
50.75 L,995
23.27 L,727
40 L,975
70 L,1284
72.08 L,1360
43 L,800
1.17 Cr,2200
58.3 L,1100
55.12 L,1040
35.76 L,894
15 L,516
39.38 L,875
65.79 L,1462
32.11 L,845
30.21 L,795
29.45 L,796
29 L,871
1.05 Cr,1842
30 L,924
32 L,725
64 L,935
45.45 L,1010
56 L,1080
1.77 Cr,2355
1.3 Cr,1728
1.77 Cr,1712
1.2 Cr,1738
65 L,1343
77 L,1080
96 L,1510
78 L,1090
99 L,1510
75 L,1090
4 Cr,2396
51 L,907
64 L,1128
1.05 Cr,1152
1.5 Cr,1622
1.6 Cr,1585
1.3 Cr,1357
80 L,900
43.5 L,948
31.5 L,788
53.05 L,1263
21.76 L,888
25.48 L,980
85.5 L,1083
15 L,600
70 L,1040
85 L,2000
95 L,1295
32 L,700
70 L,1220
55 L,1463
35 L,839
55 L,1129
35 L,874
65 L,1264
39 L,1071
42 L,1043
25.92 L,810
18.4 L,575
24.61 L,769
14.3 L,447
26.11 L,816
25.92 L,810
24.61 L,769
18.4 L,575
55 L,1242
28 L,773
28.48 L,712
39.55 L,1121
42.2 L,1200
25.7 L,2581176
21.8 L,700
34.95 L,1165
27.72 L,840
20.97 L,699
39.02 L,1105
28 L,771
1.05 Cr,1680
2.25 Cr,2150
1.18 Cr,1263
35 L,1000
30 L,730
